Win + стрелка вниз      Свернуть данной окно
Win + стрелка вверх     Развернуть данное окно
Win + стрелка влево     Текущее окно переводит в левую часть экрана
Win + D                 Свернуть все окна
Win + V                 Бефер обменна
Cntrl + X               Копировать + вырезать текст 
Cntrl + C               Только копировать текст
Cntrl + V               Вставить текст
alt + F4                Свернуть текущее окно (если курсор на рабочем столе то перейти в режим меню пучк)

Win + fn + prt sc       Снимок экрана в папку Изображения > Снимки Экрана
fn + prt sc             если настроенно то отрывает преложение "Ножницы" 

